bigg_id,name,iAF692_results,iAF987_results,iAM_Pb448_results,iAM_Pc455_results,iAM_Pf480_results,iAM_Pk459_results,iHN637_results,iJN1463_results,iML1515_results,iPC815_results,iSDY_1059_results,iSF_1195_results,iSSON_1240_results,iSbBS512_1146_results,iYL1228_results,iAF692,iAF987,iAM_Pb448,iAM_Pc455,iAM_Pf480,iAM_Pk459,iHN637,iJN1463,iML1515,iPC815,iSDY_1059,iSF_1195,iSSON_1240,iSbBS512_1146,iYL1228
dgdp_c,DGDP C10H12N5O10P2,OUT,OUT,IS,IS,IS,IS,OUT,OUT,GSC,IN,GSC,GSC,GSC,GSC,GSC,OUT,OUT,IS,IS,IS,IS,OUT,OUT,GSC,IN,GSC,GSC,GSC,GSC,GSC
dgslnt_c,Selenodiglutathione,,,,,,,,GSC,GSC,,GSC,IN,GSC,GSC,,,,,,,,,GSC,GSC,,GSC,IN,GSC,GSC,
dgtp_c,DGTP C10H12N5O13P3,OUT,OUT,IS,IS,IS,IS,OUT,OUT,GSC,IN,GSC,GSC,GSC,GSC,GSC,OUT,OUT,IS,IS,IS,IS,OUT,OUT,GSC,IN,GSC,GSC,GSC,GSC,GSC
dha_c,Dihydroxyacetone,OUT,,IS,IS,IS,IS,GSC,,GSC,GSC,GSC,GSC,GSC,GSC,GSC,OUT,,IS,IS,IS,IS,GSC,,GSC,GSC,GSC,GSC,GSC,GSC,GSC
dhmpt_c,Dihydromonapterin,,,,,,,,GSC,GSC,,OUT,OUT,OUT,GSC,,,,,,,,,GSC,GSC,,OUT,OUT,OUT,GSC,
dhmptp_c,Dihydromonapterin-triphosphate,,,,,,,,,GSC,,GSC,GSC,GSC,GSC,OUT,,,,,,,,,GSC,,GSC,GSC,GSC,GSC,OUT
dhnpt_c,Dihydroneopterin,OUT,GSC,IS,IS,IS,IS,IS,GSC,GSC,IN,OUT,OUT,OUT,GSC,OUT,OUT,GSC,IS,IS,IS,IS,IS,GSC,GSC,IN,OUT,OUT,OUT,GSC,OUT
dimp_c,DIMP C10H12N4O7P,,IS,IS,IS,IS,IS,IS,OUT,GSC,IN,GSC,GSC,GSC,GSC,IN,,IS,IS,IS,IS,IS,IS,OUT,GSC,IN,GSC,GSC,GSC,GSC,IN
din_c,Deoxyinosine,,,IS,IS,IS,IS,IN,OUT,GSC,IN,GSC,GSC,GSC,GSC,GSC,,,IS,IS,IS,IS,IN,OUT,GSC,IN,GSC,GSC,GSC,GSC,GSC
dmpp_c,Dimethylallyl diphosphate,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT
dtdpglu_c,DTDPglucose,OUT,OUT,,,,,OUT,OUT,OUT,IS,OUT,OUT,OUT,OUT,OUT,OUT,OUT,,,,,OUT,OUT,OUT,IS,OUT,OUT,OUT,OUT,OUT
dttp_c,DTTP C10H13N2O14P3,OUT,OUT,IS,IS,IS,IS,OUT,OUT,GSC,IS,GSC,GSC,GSC,GSC,GSC,OUT,OUT,IS,IS,IS,IS,OUT,OUT,GSC,IS,GSC,GSC,GSC,GSC,GSC
dump_c,DUMP C9H11N2O8P,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,GSC,IN,GSC,GSC,GSC,GSC,GSC,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,GSC,IN,GSC,GSC,GSC,GSC,GSC
dutp_c,DUTP C9H11N2O14P3,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,GSC,IN,GSC,GSC,GSC,GSC,GSC,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,GSC,IN,GSC,GSC,GSC,GSC,GSC
eig3p_c,D-erythro-1-(Imidazol-4-yl)glycerol 3-phosphate,OUT,OUT,,,,,GSC,GSC,OUT,IS,OUT,OUT,OUT,OUT,GSC,OUT,OUT,,,,,GSC,GSC,OUT,IS,OUT,OUT,OUT,OUT,GSC
